Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
chocolate chip croissant sourdough bread,Informational,210,"0.43,0.53,0.34,0.34,1.00,0.53,0.53,0.53,1.00,1.00,1.00,0.65",2,0.00,0.01,"Sitelinks, Image, Video, Video carousel, Short videos, Related searches",168
cranberry walnut sourdough bread,Informational,260,"0.15,0.12,0.15,0.23,0.23,0.44,1.00,0.81,0.44,0.36,0.29,0.29",5,0.00,0.17,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches",168
heirloom sourdough,"Informational, Transactional",210,"0.43,0.14,0.18,0.22,0.43,0.22,0.54,0.29,1.00,0.35,0.43,0.35",0,0.00,0.10,"Sitelinks, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",168
roasted garlic rosemary sourdough,Informational,170,"0.42,0.42,0.53,0.53,0.53,0.80,1.00,1.00,0.80,0.53,0.34,0.42",5,0.00,0.33,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",168
semolina sourdough bread,Informational,260,"0.65,1.00,0.52,0.80,0.65,0.65,0.80,1.00,1.00,1.00,0.80,0.65",5,0.00,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes",168
sourdough bread appetizer,Informational,390,"0.16,0.13,0.24,0.24,0.24,0.30,0.45,1.00,0.30,0.55,0.30,0.30",5,0.20,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",168
strawberry sourdough bread,Informational,590,"0.45,0.36,0.30,0.30,0.20,0.16,0.20,0.20,0.67,1.00,0.55,0.55",4,0.00,0.00,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches",168
garlic parmesan sourdough bread,Informational,170,"0.05,0.07,0.05,0.28,0.28,0.35,0.43,0.66,1.00,0.82,0.66,0.53",3,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",169
mini sourdough boules,Informational,170,"0.53,0.34,0.28,0.34,0.43,0.53,1.00,1.00,0.81,0.81,0.43,0.81",4,0.00,0.14,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, Recipes, Related searches",169
sourdough crumpets,Informational,720,"0.71,0.71,0.71,0.88,0.71,0.71,0.88,0.60,1.00,0.88,0.71,0.71",5,0.25,0.06,"Sitelinks, Image, Video, Recipes, Related searches",169
sourdough egg noodles,Informational,260,"0.29,0.14,0.35,0.35,0.81,0.66,1.00,0.81,0.81,0.43,0.43,0.29",4,0.00,0.10,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",169
guinness sourdough bread,Informational,170,"0.06,0.10,0.08,0.08,0.08,0.08,0.10,0.08,0.06,0.08,1.00,0.08",5,0.00,0.03,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",170
sourdough fry bread,Informational,320,"0.67,0.81,0.81,0.81,0.67,0.53,0.53,0.53,1.00,0.53,0.67,0.67",5,0.00,0.48,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches",170
sourdough orange rolls,Informational,170,"0.18,0.15,0.15,0.11,0.11,0.18,0.35,1.00,0.54,0.35,0.44,0.44",3,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, Recipes, Related searches",170
how to fix watery sourdough starter,Informational,170,"0.65,0.80,0.65,0.65,0.80,0.65,0.65,0.53,1.00,0.65,0.42,0.35",4,0.04,0.04,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",171
overproofed sourdough bread,Informational,390,"0.54,0.44,0.44,0.44,0.44,0.66,0.81,0.81,1.00,0.81,0.66,0.81",4,0.10,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",171
sourdough starter hard on top,Informational,170,"0.28,0.20,0.20,0.20,0.28,0.20,0.52,0.52,1.00,0.43,0.20,0.20",4,0.00,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",172
peaked sourdough starter,Informational,210,"0.18,0.18,0.15,0.35,0.35,0.28,0.28,0.35,1.00,0.66,0.18,0.81",5,0.77,0.13,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",174
how long to proof sourdough at room temperature,Informational,260,"0.35,0.67,0.35,0.23,0.29,0.09,0.67,0.29,1.00,0.08,0.44,0.44",5,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",177
slow fermented sourdough bread,Informational,210,"0.02,0.02,0.02,0.11,0.09,0.14,0.09,0.26,0.32,1.00,0.39,0.72",4,0.56,0.73,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Discussions and forums, Related searches",177
sourdough shortbread cookies,Informational,390,"0.32,0.21,0.26,0.26,0.26,0.32,0.48,1.00,0.39,0.39,0.32,0.26",4,0.00,0.33,"Sitelinks, Image, Image pack, Video, People also ask, Recipes",179
sourdough apple fritter,Informational,210,"0.11,0.11,0.18,0.23,0.66,1.00,0.28,0.66,0.23,0.23,0.18,0.23",0,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",180
sourdough apple crisp,Informational,170,"0.18,0.18,0.18,0.43,1.00,1.00,0.81,0.22,0.18,0.14,0.14,0.10",3,0.00,0.33,"Sitelinks, Video, Recipes, Related searches",181
how long can you bulk ferment sourdough,Informational,210,"0.43,0.17,0.23,0.28,0.35,0.53,0.53,0.66,1.00,0.82,0.43,0.43",5,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",184
alaska sourdough starter,Informational,170,"0.65,0.65,0.65,1.00,0.81,0.81,0.81,0.81,0.81,0.65,0.54,0.42",3,0.40,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",186
whole wheat sourdough english muffins,Informational,210,"0.53,0.43,0.43,0.53,0.43,0.53,0.43,0.43,1.00,0.66,0.82,0.43",4,0.92,0.77,"Sitelinks, Reviews, Video, Recipes, Related searches",187
long fermented sourdough bread,Informational,480,"0.05,0.04,0.07,0.05,0.03,0.07,0.13,0.24,0.44,0.53,1.00,0.66",4,0.46,0.35,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",188
alaskan sourdough starter,Informational,170,"0.73,0.73,0.73,1.00,0.73,0.73,1.00,1.00,1.00,0.73,0.64,0.64",1,0.40,1.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",189
how long can i cold proof sourdough,Informational,260,"0.35,0.35,0.35,0.29,0.54,0.43,0.66,0.54,0.81,1.00,1.00,0.81",4,0.00,0.33,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",189
san francisco style sourdough,Informational,590,"0.20,0.55,0.55,0.36,0.76,0.20,0.36,0.36,1.00,0.45,0.45,0.55",4,0.52,0.69,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Discussions and forums, Related searches",189
sourdough potato bread,Informational,480,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,1.00,0.81,0.81,0.81",1,0.00,0.12,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches",191
sourdough starter suppliers,Commercial,480,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",5,0.36,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",191
linen bag for sourdough bread,Commercial,320,"0.13,0.08,0.16,0.04,0.07,0.07,0.10,0.20,0.54,1.00,0.36,0.41",5,0.50,0.67,"Sitelinks, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",192
how long to proof sourdough after shaping,Informational,170,"1.00,0.64,0.64,0.53,0.81,0.64,0.64,0.53,0.53,0.40,0.40,0.28",5,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",193
sourdough books,Commercial,260,"0.19,0.15,0.12,0.04,0.23,0.29,0.23,1.00,0.29,0.19,0.19,0.19",5,0.25,1.00,"Sitelinks, Video, Short videos, People also ask, Related searches, Popular products",193
white mold on sourdough starter,Informational,260,"0.82,0.65,0.65,0.53,0.65,0.65,0.65,0.65,1.00,0.82,0.82,0.53",5,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",193
sourdough bread price,Commercial,390,"0.81,0.28,0.54,0.66,0.66,0.66,0.66,0.66,1.00,0.81,1.00,0.81",2,0.42,0.59,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Popular products",194
dehydrated sourdough starter kit,Commercial,170,"0.02,0.03,0.04,0.03,0.07,0.48,1.00,0.17,0.05,0.05,0.05,0.02",3,0.47,0.93,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products",195
gluten free sourdough starter kit,Informational,170,"0.50,0.40,0.40,0.50,0.65,0.50,0.80,0.80,1.00,0.40,0.30,0.80",1,0.34,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",195
san fran sourdough starter,Commercial,260,"0.12,0.09,0.19,1.00,0.23,0.54,0.36,0.44,0.36,0.23,0.29,0.15",2,0.44,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",195
sourdough bowl covers,Commercial,210,"0.18,0.14,0.18,0.22,0.29,0.29,0.81,1.00,0.81,0.54,0.43,0.54",4,0.43,1.00,"Sitelinks, Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",211
sourdough didn't rise in oven,Informational,210,"0.65,0.52,0.65,0.43,0.52,0.52,0.65,0.52,1.00,0.65,0.52,0.34",5,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",236
sourdough discard popovers,Informational,170,"0.65,0.53,0.42,0.53,0.53,0.53,0.80,0.80,1.00,0.65,0.42,0.42",5,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",21200
sourdough unloaf,Informational,260,"0.35,0.54,0.43,0.43,0.81,0.28,0.28,0.17,0.22,0.00,1.00,0.11",2,0.44,0.87,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",103000
sourdough ratio calculator,Informational,390,"0.29,0.36,0.44,0.36,0.44,0.54,0.66,0.66,1.00,0.66,0.81,0.54",0,0.00,0.00,"Image pack, Video, Video carousel, People also ask, Related searches",200000
how many stretches and folds for sourdough,Informational,260,"0.24,0.00,0.10,0.10,0.30,0.00,0.00,0.76,1.00,0.30,0.01,0.01",2,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",325000
sourdough thumbprint cookies,Informational,210,"0.19,0.19,0.15,0.15,0.15,0.19,0.36,1.00,0.19,0.29,0.15,0.19",4,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",482000
what is hooch sourdough,Informational,260,"0.81,1.00,0.81,1.00,0.64,0.53,0.25,0.64,1.00,0.25,0.25,0.17",5,0.00,0.04,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",583000
sourdough stromboli,Informational,320,"0.67,0.35,0.53,0.53,0.53,0.53,0.53,0.67,0.82,1.00,0.67,0.53",4,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",832000
sourdough starter einkorn,Informational,170,"0.52,0.43,0.43,0.27,0.43,0.82,0.66,1.00,1.00,0.52,1.00,0.82",4,0.46,1.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",1040000
my sourdough starter is runny,Informational,590,"0.48,0.72,0.48,0.59,0.59,0.59,0.72,0.59,1.00,0.88,0.59,0.48",3,0.04,0.07,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",1810000
did i kill my sourdough starter,Informational,210,"0.65,0.65,0.53,0.53,0.65,0.65,0.80,0.80,1.00,0.80,0.80,0.65",3,0.04,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",1840000
sourdough discard baguette,Informational,260,"0.53,0.53,0.53,0.43,0.53,0.66,0.66,0.82,1.00,0.66,0.53,0.53",4,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",3130000
potato flake sourdough bread recipe,Informational,170,"0.43,0.28,0.34,0.43,0.53,0.65,0.65,0.53,0.81,0.65,1.00,0.65",4,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",4320000
potato flake sourdough bread,Informational,480,"0.54,0.44,0.66,0.66,0.44,0.81,1.00,0.81,0.81,0.66,0.81,0.44",5,0.00,0.02,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches",4430000
sourdough discard french bread,Informational,480,"0.54,0.54,0.44,0.54,0.66,0.66,0.66,0.81,1.00,1.00,0.81,0.54",4,0.00,0.00,"Sitelinks, Image, Video, Recipes, Related searches",6060000
how to ship sourdough bread,Informational,320,"0.43,0.43,0.43,0.54,0.54,0.54,0.66,0.81,1.00,0.66,0.22,0.43",5,0.17,0.19,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",6820000
reheat frozen sourdough bread,Informational,320,"0.82,0.82,0.66,0.82,0.66,0.66,1.00,1.00,1.00,0.82,0.66,0.53",3,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",7460000
long ferment sourdough,Informational,170,"0.02,0.02,0.07,0.04,0.05,0.07,0.10,0.20,0.41,0.54,0.79,1.00",5,0.46,0.35,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches",7720000
sourdough bread stuffing,Informational,880,"0.00,0.02,0.02,0.02,0.02,0.14,1.00,0.14,0.05,0.02,0.05,0.05",5,0.11,0.12,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",7940000
sourdough english muffin bread recipe,Informational,170,"1.00,0.81,0.65,0.54,1.00,0.35,0.19,0.54,0.54,0.42,0.19,0.04",5,0.05,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",8500000
apple cider sourdough bread,Informational,210,"0.02,0.02,0.02,0.17,0.59,1.00,0.48,0.14,0.09,0.05,0.04,0.02",5,0.00,0.02,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",8700000
sourdough chocolate chip cookie bars,Informational,170,"1.00,0.80,0.64,0.80,0.52,0.41,0.34,0.25,0.41,0.34,0.52,0.52",2,0.00,0.00,"Sitelinks, Image, Image pack, Video, Recipes, Related searches",8770000
cheapest shipping rates fresh sourdough bread us,Informational,260,"1.00,0.65,0.00,0.00,0.00",5,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums",10300000
vegan sourdough cinnamon rolls,Informational,260,"0.28,0.28,0.35,0.35,0.35,0.35,0.43,1.00,0.67,0.43,0.54,0.43",2,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",10700000
how to reheat sourdough bread,Informational,880,"0.30,0.20,0.20,0.45,0.55,0.55,0.81,1.00,0.81,0.81,0.55,0.45",3,0.01,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",11100000
orange cranberry sourdough bread,Informational,320,"0.14,0.11,0.14,0.14,0.14,0.32,1.00,1.00,0.32,0.32,0.17,0.14",4,0.00,0.03,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches",11600000
sourdough focaccia pizza,Informational,880,"0.73,0.59,0.59,0.59,0.49,0.39,0.39,0.49,1.00,0.88,0.59,0.49",5,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",11600000
bake sourdough without dutch oven,Informational,390,"0.54,0.43,0.34,0.43,0.43,0.34,0.66,0.81,1.00,1.00,0.66,0.54",3,0.05,0.05,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",12600000
chocolate sourdough cupcakes,Informational,390,"0.71,0.15,1.00,0.31,0.13,0.60,0.25,0.38,0.38,0.48,0.48,0.48",5,0.00,0.00,"Sitelinks, Image, Video, Recipes, Related searches",13100000
gluten free sourdough cinnamon rolls,Informational,320,"0.35,0.35,0.35,0.35,0.44,0.28,0.66,1.00,0.54,0.35,0.35,0.44",4,0.00,0.02,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",14800000
sourdough king cake,Informational,320,"0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,1.00,0.81,0.04,0.05",3,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Recipes, Related searches",17800000
day 5 sourdough starter,Informational,260,"0.23,0.23,0.19,0.23,0.44,0.44,0.54,0.54,1.00,0.67,0.81,0.54",4,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",23100000
sourdough strawberry cake,Informational,170,"1.00,0.81,0.53,0.36,0.17,0.27,0.17,0.12,0.36,0.53,0.36,0.81",4,0.00,0.00,"Sitelinks, Image, Image pack, Video, Recipes, Related searches",26700000
does sourdough bread go bad,Informational,210,"0.80,0.80,0.80,1.00,1.00,0.80,1.00,0.80,1.00,0.80,1.00,1.00",3,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",28900000
gluten free flour for sourdough bread,Informational,390,"0.19,0.67,0.67,1.00,0.67,0.81,0.23,0.12,0.19,0.23,0.54,0.29",5,0.56,0.72,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Discussions and forums, Related searches",41300000
vegan sourdough recipes,Informational,260,"0.28,0.28,0.23,0.66,0.81,0.54,0.66,0.54,1.00,0.28,0.35,0.44",5,0.00,0.02,"Image, Video, People also ask, Recipes, Related searches",50900000
how to heat sourdough bread,Informational,480,"1.00,0.44,0.67,0.54,0.36,0.44,0.54,0.83,0.83,0.44,0.67,0.54",1,0.01,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",51300000
garlic bread with sourdough,Informational,170,"0.80,0.66,0.66,0.80,0.80,0.66,0.80,1.00,1.00,0.80,0.66,0.80",5,0.00,0.02,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",53700000
sourdough bread breakfast ideas,Informational,320,"0.54,0.36,0.44,0.36,0.36,0.36,0.36,0.36,1.00,0.36,0.44,0.44",5,0.00,0.01,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",54600000
how to heat up sourdough bread,Informational,590,"0.55,0.29,0.55,0.29,0.44,0.65,0.82,1.00,1.00,0.82,0.82,0.55",4,0.01,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",54800000
sourdough cheese bread recipe,Informational,210,"0.22,0.22,0.18,0.22,0.22,0.43,0.81,1.00,1.00,0.66,1.00,1.00",4,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Short videos, Recipes, Related searches",69500000
