Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
balinese food recipes,Informational,70,"0.64,0.64,0.28,0.64,1.00,0.50,0.50,0.64,0.64,0.35,0.35,0.35",12,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",115
indonesia recipes,Informational,70,"0.07,0.09,0.07,0.07,1.00,0.09,0.04,0.07,0.02,0.02,0.00,0.04",6,0.10,0.04,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",80000000
indonesian food recipe,Informational,70,"0.20,0.29,1.00,0.66,0.34,0.29,0.49,0.49,0.66,0.29,0.49,0.14",12,0.00,0.33,"AI Overview, Video, Video carousel, Recipes, Related searches",125
recipes from bali,Informational,70,"1.00,1.00,0.78,1.00,0.78,0.78,0.78,0.56,0.33,0.56,0.56,0.56",17,0.00,0.01,"AI Overview, Video, Short videos, People also ask, Recipes, Related searches",111
indonesia food recipes,Informational,50,"0.05,0.05,0.05,1.00,0.05,0.00,0.07,0.12,0.17,0.00,0.02,0.00",19,0.10,0.04,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",101000000
nigerian food recipes,Informational,2400,"0.80,0.66,0.66,0.66,0.52,0.52,0.66,0.80,1.00,0.27,0.36,0.24",24,0.63,0.01,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Recipes, Related searches",95
traditional nigerian food,Informational,880,"0.88,0.49,0.59,0.59,0.73,0.88,0.88,0.73,0.73,0.88,1.00,1.00",27,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",109
nigerian dishes recipes,Informational,720,"0.16,0.16,0.20,1.00,0.10,0.08,0.13,0.08,0.10,0.16,0.08,0.13",27,0.27,0.01,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",105
traditional nigerian cuisine,Informational,320,"0.03,1.00,0.59,0.59,0.14,0.88,0.00,0.07,0.11,0.09,0.07,0.01",26,0.20,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Local pack, Related searches",171
nigeria cooking recipes,Informational,260,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",29,0.63,0.01,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",104
nigerian traditional food,Informational,170,"0.43,1.00,0.22,0.17,0.81,0.43,0.27,0.67,0.17,0.17,0.17,0.81",28,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",46300000
niger food recipes,Informational,140,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",24,0.27,0.01,"AI Overview, Image, Video, People also ask, Recipes, Related searches",99
easy nigerian recipes,Informational,90,"1.00,1.00,0.81,0.64,0.64,0.81,0.64,0.64,0.64,0.81,0.64,0.81",29,0.16,0.07,"Image, Video, Video carousel, People also ask, Recipes, Discussions and forums, Related searches",39400000
nigerian food recipes coconut rice,Informational,90,"0.45,0.63,0.63,1.00,1.00,0.81,1.00,0.81,0.63,0.63,0.63,1.00",11,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",112
nigeria recipe,Informational,50,"0.71,1.00,1.00,0.71,0.71,0.71,1.00,0.71,1.00,1.00,0.29,0.29",25,0.00,0.01,"AI Overview, Video, Video carousel, Short videos, Recipes, Related searches",95
nigerian recipes easy,Informational,50,"0.71,1.00,0.57,0.71,0.42,0.71,0.42,0.57,0.28,0.71,0.57,0.57",20,0.16,0.07,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",95
